id,"idcounty","idmuni","municipality","logo"
349,"18","1867","Bø","Boe_Nordland.png"
350,"18","1827","Dønna","Doenna.png"
351,"18","1853","Evenes","Evenes.png"
352,"18","1841","Fauske","Fauske.png"
353,"18","1859","Flakstad","Flakstad.png"
354,"18","1838","Gildeskål","Gildeskaal.png"
355,"18","1825","Grane","Grane.png"
356,"18","1866","Hadsel","Hadsel.png"
357,"18","1849","Hamarøy","Hamaroey.png"
358,"18","1826","Hattfjelldal","Hattfjelldal.png"
359,"18","1832","Hemnes","Hemnes.png"
360,"18","1818","Herøy","Heroey_Nordland.png"
361,"18","1822","Leirfjord","Leirfjord.png"
362,"18","1834","Lurøy","Luroey.png"
363,"18","1851","Lødingen","Loedingen.png"
364,"18","1837","Meløy","Meloey.png"
365,"18","1874","Moskenes","Moskenes.png"
366,"18","1805","Narvik","Narvik.png"
367,"18","1828","Nesna","Nesna.png"
368,"18","1833","Rana","Rana.png"
369,"18","1836","Rødøy","Roedoey.png"
370,"18","1856","Røst","Roest.png"
371,"18","1840","Saltdal","Saltdal.png"
372,"18","1870","Sortland","Sortland.png"
373,"18","1848","Steigen","Steigen.png"
374,"18","1812","Sømna","Soemna.png"
375,"18","1845","Sørfold","Soerfold.png"
376,"18","1852","Tjeldsund","Tjeldsund.png"
377,"18","1835","Træna","Traena.png"
378,"18","1850","Tysfjord","Tysfjord.png"
379,"18","1824","Vefsn","Vefsn.png"
380,"18","1815","Vega","Vega.png"
381,"18","1860","Vestvågøy","Vestvaagoey.png"
382,"18","1816","Vevelstad","Vevelstad.png"
383,"18","1857","Værøy","Vaeroey.png"
384,"18","1865","Vågan","Vaagan.png"
385,"18","1868","Øksnes","Oeksnes.png"
386,"19","1933","Balsfjord","Balsfjord.png"
387,"19","1922","Bardu","Bardu.png"
388,"19","1929","Berg","Berg.png"
389,"19","1926","Dyrøy","Dyroey.png"
390,"19","1919","Gratangen","Gratangen.png"
391,"19","1903","Harstad","Harstad.png"
392,"19","1917","Ibestad","Ibestad.png"
393,"19","1936","Karlsøy","Karlsoey.png"
394,"19","1911","Kvæfjord","Kvaefjord.png"
395,"19","1943","Kvænangen","Kvaenangen.png"
396,"19","1940","Kåfjord","Kaafjord.png"
397,"19","1920","Lavangen","Lavangen.png"
398,"19","1931","Lenvik","Lenvik.png"
399,"19","1938","Lyngen","Lyngen.png"
400,"19","1924","Målselv","Maalselv.png"
401,"19","1942","Nordreisa","Nordreisa.png"
402,"19","1923","Salangen","Salangen.png"
403,"19","1941","Skjervøy","Skjervoey.png"
404,"19","1913","Skånland","Skaanland.png"
405,"19","1939","Storfjord","Storfjord.png"
406,"19","1925","Sørreisa","Soerreisa.png"
407,"19","1928","Torsken","Torsken.png"
408,"19","1927","Tranøy","Tranoey.png"
409,"19","1902","Tromsø","Tromsoe.png"
410,"20","2012","Alta","Alta.png"
411,"20","2024","Berlevåg","Berlevaag.png"
412,"20","2028","Båtsfjord","Baatsfjord.png"
413,"20","2023","Gamvik","Gamvik.png"
414,"20","2004","Hammerfest","Hammerfest_-_kommunevaapen.svg"
415,"20","2015","Hasvik","Hasvik.png"
416,"20","2021","Karasjok","Karasjok.png"
417,"20","2011","Kautokeino","Kautokeino.png"
418,"20","2017","Kvalsund","Kvalsund.png"
419,"20","2022","Lebesby","Lebesby.png"
420,"20","2014","Loppa","Loppa.png"
421,"20","2018","Måsøy","Maasoey.png"
422,"20","2027","Nesseby","Nesseby.png"
423,"20","2019","Nordkapp","Nordkapp.png"
424,"20","2020","Porsanger","Porsanger.png"
425,"20","2030","Sør-Varanger","Soer-Varanger.png"
426,"20","2025","Tana","Tana.png"
427,"20","2003","Vadsø","Vadsoe.png"
428,"20","2002","Vardø","Vardoe.png"
429,"21","2111","Longyearbyen lokalstyre","Svalbard.png"
430,"01","01","Østfold Fylkeskommune","ostfold_fylkeskommune.png"
431,"02","02","Akershus Fylkeskommune","Akershus_fylkeskommune.png"
432,"03","03","Oslo Fylkeskommune","oslo_fylkeskommune.png"
433,"04","04","Hedmark Fylkeskommune","hedmark_fylkeskommune.png"
434,"05","05","Oppland Fylkeskommune","oppland_fylkeskommune.png"
435,"06","06","Buskerud Fylkeskommune","buskerud_fylkeskommune.png"
436,"07","07","Vestfold Fylkeskommune","vestfold_fylkeskommune.png"
437,"08","08","Telemark Fylkeskommune","telemark_fylkeskommune.png"
438,"09","09","Aust-Agder Fylkeskommune","aust-agder_fylkeskommune.png"
439,"10","10","Vest-Agder Fylkeskommune","vest-agder_fylkeskommune.png"
440,"11","11","Rogaland Fylkeskommune","rogaland_fylkeskommune.png"
441,"12","12","Hordaland Fylkeskommune","hordaland_fylkeskommune.png"
442,"14","14","Sogn og Fjordane Fylkeskommune","sogn_og_fjordane_fylkeskommune.png"
443,"15","15","Møre og Romsdal Fylkeskommune","more_og_romsdal_fylkeskommune.png"
444,"16","16","Sør-Trøndelag Fylkeskommune","sor-tronderlag_fylkeskommune.png"
445,"17","17","Nord-Trøndelag Fylkeskommune","nord-tronderlag_fylkeskommune.png"
446,"18","18","Nordland Fylkeskommune","nordland_fylkeskommune.png"
447,"19","19","Troms Fylkeskommune","troms_fylkeskommune.png"
448,"20","20","Finnmark Fylkeskommune","finnmark_fylkeskommune.png"
